Invoice ID,Branch,City,Payment,cogs,gross margin percentage,gross income,Rating
750-67-8428,A,Yangon,Ewallet,522.83,4.761904762,26.1415,9.1
226-31-3081,C,Naypyitaw,Cash,76.4,4.761904762,3.82,9.6
631-41-3108,A,Yangon,Credit card,324.31,4.761904762,16.2155,7.4
123-19-1176,A,Yangon,Ewallet,465.76,4.761904762,23.288,8.4
373-73-7910,A,Yangon,Ewallet,604.17,4.761904762,30.2085,5.3
699-14-3026,C,Naypyitaw,Ewallet,597.73,4.761904762,29.8865,4.1
355-53-5943,A,Yangon,Ewallet,413.04,4.761904762,20.652,5.8
315-22-5665,C,Naypyitaw,Ewallet,735.6,4.761904762,36.78,8
665-32-9167,A,Yangon,Credit card,72.52,4.761904762,3.626,7.2
692-92-5582,B,Mandalay,Credit card,164.52,4.761904762,8.226,5.9
351-62-0822,B,Mandalay,Ewallet,57.92,4.761904762,2.896,4.5
529-56-3974,B,Mandalay,Cash,102.04,4.761904762,5.102,6.8
365-64-0515,A,Yangon,Ewallet,234.75,4.761904762,11.7375,7.1
252-56-2699,A,Yangon,Ewallet,431.9,4.761904762,21.595,8.2
829-34-3910,A,Yangon,Cash,713.8,4.761904762,35.69,5.7
299-46-1805,B,Mandalay,Cash,562.32,4.761904762,28.116,4.5
656-95-9349,A,Yangon,Credit card,482.51,4.761904762,24.1255,4.6
765-26-6951,A,Yangon,Credit card,435.66,4.761904762,21.783,6.9
329-62-1586,A,Yangon,Credit card,164.01,4.761904762,8.2005,8.6
319-50-3348,B,Mandalay,Ewallet,80.6,4.761904762,4.03,4.4
300-71-4605,C,Naypyitaw,Ewallet,430.2,4.761904762,21.51,4.8
371-85-5789,B,Mandalay,Ewallet,263.94,4.761904762,13.197,5.1
273-16-6619,B,Mandalay,Credit card,66.4,4.761904762,3.32,4.4
636-48-8204,A,Yangon,Ewallet,172.8,4.761904762,8.64,9.9
549-59-1358,A,Yangon,Ewallet,265.89,4.761904762,13.2945,6
227-03-5010,A,Yangon,Credit card,420.72,4.761904762,21.036,8.5
649-29-6775,B,Mandalay,Cash,33.52,4.761904762,1.676,6.7
189-17-4241,A,Yangon,Credit card,175.34,4.761904762,8.767,7.7
145-94-9061,B,Mandalay,Cash,441.8,4.761904762,22.09,9.6
848-62-7243,A,Yangon,Cash,224.01,4.761904762,11.2005,7.4
871-79-8483,B,Mandalay,Credit card,470.65,4.761904762,23.5325,4.8
149-71-6266,B,Mandalay,Cash,702.63,4.761904762,35.1315,4.5
640-49-2076,B,Mandalay,Cash,670.24,4.761904762,33.512,5.1
595-11-5460,A,Yangon,Credit card,193.16,4.761904762,9.658,5.1
183-56-6882,C,Naypyitaw,Ewallet,397.68,4.761904762,19.884,7.5
232-16-2483,C,Naypyitaw,Ewallet,68.12,4.761904762,3.406,6.8
129-29-8530,A,Yangon,Ewallet,313.1,4.761904762,15.655,7
272-65-1806,A,Yangon,Ewallet,547.92,4.761904762,27.396,4.7
333-73-7901,C,Naypyitaw,Ewallet,439.36,4.761904762,21.968,7.6
777-82-7220,B,Mandalay,Cash,240.96,4.761904762,12.048,7.7
280-35-5823,B,Mandalay,Ewallet,86.72,4.761904762,4.336,7.9
554-53-8700,C,Naypyitaw,Cash,112.22,4.761904762,5.611,6.3
354-25-5821,B,Mandalay,Cash,414.72,4.761904762,20.736,5.6
228-96-1411,C,Naypyitaw,Cash,789.6,4.761904762,39.48,7.6
617-15-4209,C,Naypyitaw,Cash,30.74,4.761904762,1.537,7.2
132-32-9879,B,Mandalay,Cash,375.84,4.761904762,18.792,9.5
370-41-7321,B,Mandalay,Credit card,510.21,4.761904762,25.5105,8.4
727-46-3608,B,Mandalay,Ewallet,180.09,4.761904762,9.0045,4.1
669-54-1719,B,Mandalay,Credit card,113.58,4.761904762,5.679,8.1
574-22-5561,C,Naypyitaw,Ewallet,826.3,4.761904762,41.315,7.9
326-78-5178,C,Naypyitaw,Cash,639.8,4.761904762,31.99,9.5
162-48-8011,A,Yangon,Cash,222.95,4.761904762,11.1475,8.5
616-24-2851,B,Mandalay,Ewallet,71.48,4.761904762,3.574,6.5
778-71-5554,C,Naypyitaw,Credit card,15.43,4.761904762,0.7715,6.1
242-55-6721,B,Mandalay,Ewallet,32.32,4.761904762,1.616,6.5
399-46-5918,C,Naypyitaw,Cash,687.84,4.761904762,34.392,8.2
106-35-6779,A,Yangon,Cash,88.68,4.761904762,4.434,5.8
635-40-6220,A,Yangon,Ewallet,716.8,4.761904762,35.84,6.6
817-48-8732,A,Yangon,Cash,723.5,4.761904762,36.175,5.4
120-06-4233,C,Naypyitaw,Cash,183.66,4.761904762,9.183,9.3
285-68-5083,C,Naypyitaw,Credit card,74.22,4.761904762,3.711,10
803-83-5989,C,Naypyitaw,Ewallet,334.38,4.761904762,16.719,7
347-34-2234,B,Mandalay,Ewallet,495.63,4.761904762,24.7815,10
199-75-8169,A,Yangon,Credit card,158.1,4.761904762,7.905,8.6
853-23-2453,B,Mandalay,Cash,302.96,4.761904762,15.148,7.6
877-22-3308,A,Yangon,Cash,158.7,4.761904762,7.935,5.8
838-78-4295,C,Naypyitaw,Ewallet,66.94,4.761904762,3.347,6.7
109-28-2512,B,Mandalay,Ewallet,585.66,4.761904762,29.283,9.9
232-11-3025,A,Yangon,Cash,787.7,4.761904762,39.385,6.4
382-03-4532,A,Yangon,Cash,18.33,4.761904762,0.9165,4.3
393-65-2792,C,Naypyitaw,Credit card,894.8,4.761904762,44.74,9.6
796-12-2025,C,Naypyitaw,Cash,621.2,4.761904762,31.06,5.9
510-95-6347,B,Mandalay,Ewallet,145.56,4.761904762,7.278,4
841-35-6630,C,Naypyitaw,Cash,455.46,4.761904762,22.773,8.7
287-21-9091,A,Yangon,Ewallet,672.03,4.761904762,33.6015,9.4
732-94-0499,C,Naypyitaw,Credit card,416.5,4.761904762,20.825,5.4
263-10-3913,C,Naypyitaw,Credit card,441.36,4.761904762,22.068,8.6
381-20-0914,A,Yangon,Credit card,180.09,4.761904762,9.0045,5.7
829-49-1914,C,Naypyitaw,Ewallet,783.1,4.761904762,39.155,6.6
756-01-7507,C,Naypyitaw,Cash,101.9,4.761904762,5.095,6
870-72-4431,C,Naypyitaw,Credit card,595.14,4.761904762,29.757,5.5
847-38-7188,B,Mandalay,Ewallet,290.04,4.761904762,14.502,6.4
480-63-2856,C,Naypyitaw,Ewallet,154,4.761904762,7.7,6.6
787-56-0757,C,Naypyitaw,Credit card,321.44,4.761904762,16.072,8.3
360-39-5055,C,Naypyitaw,Cash,244.55,4.761904762,12.2275,6.6
730-50-9884,C,Naypyitaw,Ewallet,581.42,4.761904762,29.071,4
362-58-8315,C,Naypyitaw,Cash,382.6,4.761904762,19.13,9.9
633-44-8566,A,Yangon,Credit card,345.66,4.761904762,17.283,7.3
504-35-8843,A,Yangon,Cash,42.47,4.761904762,2.1235,5.7
318-68-5053,B,Mandalay,Cash,461.94,4.761904762,23.097,6.1
565-80-5980,C,Naypyitaw,Cash,189.52,4.761904762,9.476,7.1
225-32-0908,C,Naypyitaw,Ewallet,448.6,4.761904762,22.43,8.2
873-51-0671,A,Yangon,Ewallet,153.86,4.761904762,7.693,5.1
152-08-9985,B,Mandalay,Credit card,579.24,4.761904762,28.962,8.6
512-91-0811,C,Naypyitaw,Credit card,89.75,4.761904762,4.4875,6.6
594-34-4444,A,Yangon,Ewallet,97.16,4.761904762,4.858,7.2
766-85-7061,B,Mandalay,Ewallet,878.7,4.761904762,43.935,5.1
871-39-9221,C,Naypyitaw,Cash,74.7,4.761904762,3.735,4.1
865-92-6136,A,Yangon,Ewallet,158.25,4.761904762,7.9125,9.3
733-01-9107,B,Mandalay,Cash,496.2,4.761904762,24.81,7.4
163-56-7055,C,Naypyitaw,Cash,48.71,4.761904762,2.4355,4.1
189-98-2939,C,Naypyitaw,Cash,706.95,4.761904762,35.3475,7.2
551-21-3069,C,Naypyitaw,Cash,207.63,4.761904762,10.3815,4.9
212-62-1842,A,Yangon,Cash,349.56,4.761904762,17.478,9.9
716-39-1409,B,Mandalay,Cash,212.45,4.761904762,10.6225,8
704-48-3927,A,Yangon,Ewallet,886.7,4.761904762,44.335,7.3
628-34-3388,C,Naypyitaw,Credit card,164.28,4.761904762,8.214,7.9
630-74-5166,A,Yangon,Cash,372.78,4.761904762,18.639,7.4
588-01-7461,C,Naypyitaw,Cash,305.82,4.761904762,15.291,4.2
861-77-0145,C,Naypyitaw,Cash,819.7,4.761904762,40.985,9.2
479-26-8945,B,Mandalay,Ewallet,32.98,4.761904762,1.649,4.6
210-67-5886,C,Naypyitaw,Credit card,294.63,4.761904762,14.7315,7.8
227-78-1148,B,Mandalay,Cash,509.88,4.761904762,25.494,8.4
645-44-1170,A,Yangon,Ewallet,522.63,4.761904762,26.1315,4.3
237-01-6122,C,Naypyitaw,Credit card,727.11,4.761904762,36.3555,9.5
225-98-1496,C,Naypyitaw,Credit card,81.06,4.761904762,4.053,7.1
291-32-1427,B,Mandalay,Ewallet,109.7,4.761904762,5.485,5.3
659-65-8956,B,Mandalay,Ewallet,51.36,4.761904762,2.568,5.2
642-32-2990,A,Yangon,Ewallet,109.6,4.761904762,5.48,6
378-24-2715,B,Mandalay,Ewallet,106.88,4.761904762,5.344,4.1
638-60-7125,A,Yangon,Credit card,796.48,4.761904762,39.824,5.2
659-36-1684,C,Naypyitaw,Credit card,399.84,4.761904762,19.992,6.5
219-22-9386,B,Mandalay,Credit card,899.64,4.761904762,44.982,4.2
336-78-2147,C,Naypyitaw,Credit card,511.28,4.761904762,25.564,4.6
268-27-6179,B,Mandalay,Ewallet,451.76,4.761904762,22.588,7.3
668-90-8900,A,Yangon,Credit card,655.83,4.761904762,32.7915,4.5
870-54-3162,A,Yangon,Cash,161.25,4.761904762,8.0625,9
189-08-9157,C,Naypyitaw,Credit card,285.57,4.761904762,14.2785,5.9
663-86-9076,C,Naypyitaw,Ewallet,548.32,4.761904762,27.416,8.5
549-84-7482,B,Mandalay,Ewallet,812.52,4.761904762,40.626,7.2
191-10-6171,B,Mandalay,Cash,277.34,4.761904762,13.867,7.5
802-70-5316,A,Yangon,Cash,552.78,4.761904762,27.639,8.3
695-51-0018,B,Mandalay,Cash,139.36,4.761904762,6.968,7.4
590-83-4591,B,Mandalay,Credit card,524.7,4.761904762,26.235,8.8
483-71-1164,C,Naypyitaw,Ewallet,487.8,4.761904762,24.39,5.3
597-78-7908,C,Naypyitaw,Cash,270.66,4.761904762,13.533,6.2
700-81-1757,A,Yangon,Credit card,131.55,4.761904762,6.5775,8.8
354-39-5160,A,Yangon,Cash,206.52,4.761904762,10.326,9.8
241-72-9525,B,Mandalay,Cash,519.1,4.761904762,25.955,8.2
575-30-8091,A,Yangon,Ewallet,580,4.761904762,29,9.2
731-81-9469,C,Naypyitaw,Credit card,898,4.761904762,44.9,5.4
280-17-4359,C,Naypyitaw,Cash,905,4.761904762,45.25,8.1
338-65-2210,C,Naypyitaw,Cash,686,4.761904762,34.3,9.1
488-25-4221,C,Naypyitaw,Credit card,30.41,4.761904762,1.5205,8.4
239-10-7476,A,Yangon,Ewallet,467.7,4.761904762,23.385,8
458-41-1477,C,Naypyitaw,Credit card,277.56,4.761904762,13.878,9.5
685-64-1609,A,Yangon,Ewallet,301.4,4.761904762,15.07,9.2
568-90-5112,C,Naypyitaw,Credit card,264.56,4.761904762,13.228,5.6
262-47-2794,B,Mandalay,Credit card,574.88,4.761904762,28.744,6.2
238-49-0436,A,Yangon,Credit card,259.68,4.761904762,12.984,4.9
608-96-3517,B,Mandalay,Credit card,366.16,4.761904762,18.308,4.8
584-86-7256,C,Naypyitaw,Credit card,241.92,4.761904762,12.096,7.3
746-94-0204,A,Yangon,Credit card,749.16,4.761904762,37.458,7.4
214-17-6927,C,Naypyitaw,Ewallet,98.88,4.761904762,4.944,9.9
400-89-4171,C,Naypyitaw,Cash,647.76,4.761904762,32.388,9.3
782-95-9291,A,Yangon,Credit card,461.45,4.761904762,23.0725,9
279-74-2924,B,Mandalay,Cash,72.17,4.761904762,3.6085,6.1
307-85-2293,B,Mandalay,Ewallet,251.4,4.761904762,12.57,9.7
743-04-1105,B,Mandalay,Ewallet,874.98,4.761904762,43.749,6
